,credit_id,gender,id,name,profile_path,movies,appearance
49,52fe4255c3a36847f8015f49,2,5216,Gus Van Sant,/2WsDgxPivXtPHtsXK5QZ8U7zYEb.jpg,"[577, 34444, 468, 489, 11252, 476, 711, 1956, 1807, 1665, 2266, 1990, 383, 10139, 36108, 47760, 133694, 273085, 291351]",19
50,52fe44959251416c75039e1d,1,3047,Jocelyn Moorhouse,/3TrT5NkGglobl3EPH5OdHlXLGzU.jpg,"[11861, 66588, 14904, 298382]",4
51,52fe4279c3a36847f80217bf,2,7467,David Fincher,/dcBHejOsKvzVZVozWJAPzYthb8X.jpg,"[807, 8077, 2649, 550, 4547, 1949, 4922, 37799, 65754, 210577]",10
52,52fe43819251416c75013075,2,65530,Mike Gabriel,,"[10530, 11135, 245003]",3
53,52fe43819251416c7501307b,2,65531,Eric Goldberg,/qsyDsuuGriobSxemhn6PcPaSC5B.jpg,"[10530, 49948]",2
54,52fe44a4c3a36847f80a1e53,1,55439,Patricia Rozema,/s1lW8HDclRDEgOWrETAJ5eSGKda.jpg,"[8391, 10399, 8359, 334538]",4
55,52fe4260c3a36847f8019a7d,2,9032,Bryan Singer,/to8mWJabPoWkphkbYKoutCVSj06.jpg,"[629, 9445, 77064, 36657, 36658, 1452, 2253, 81005, 127585, 246655]",10
56,52fe4babc3a36847f820ea31,2,100505,Richard W. Munchkin,,"[117164, 91548, 29801]",3
57,52fe44419251416c7502e54d,2,1243,Woody Allen,/wpcOUlaszvJoVRf1yLbDtu7u4FI.jpg,"[11448, 11382, 10440, 9716, 11561, 11302, 703, 696, 2639, 11485, 10849, 11337, 9466, 30890, 11562, 9684, 10569, 11624, 15867, 11686, 8217, 22478, 22477, 19200, 9686, 2779, 28384, 9689, 8288, 21449, 10739, 5143, 11030, 12762, 9688, 116, 512, 10462, 4787, 5038, 19265, 38031, 59436, 81836, 160588, 229297, 282984, 339397, 418772]",49
58,52fe4787c3a36847f813acf7,2,128107,Gianni Amelio,/tHXPXlExztj7MV10UkbWr6w6HYZ.jpg,"[49133, 58098, 47714, 42420, 24189, 85547, 209413, 60067]",8
59,52fe4503c3a368484e04375d,1,71338,Holly Goldberg Sloan,,"[26441, 58669]",2
60,52fe49de9251416c750d60c7,2,140354,Ulu Grosbard,,"[97406, 30943, 52744, 32077, 118872, 23397, 91607]",7
61,57b42992c3a36875d50050d9,2,30586,Robert Tinnell,,"[124057, 19568]",2
62,52fe44dac3a36847f80ae00b,1,1038,Jodie Foster,/eAIE6bnOQ8rm0f933gyeAQdIwrP.jpg,"[9089, 11521, 50780, 303858]",4
63,52fe43e29251416c75021d97,2,28898,Michael Radford,/bhKe3gIvinv8rBgyxdLsQbuZ6Gv.jpg,"[11010, 2923, 9314, 23941, 11162, 13195, 79591, 60041, 268171]",9
64,52fe4a259251416c750df449,2,38527,Robert Lepage,,"[99040, 139445, 38987, 22618]",4
65,52fe44309251416c7502bdc7,2,7908,Frank Oz,/aLH5bYwMIlVxCe4rIDaEsVJqDKn.jpg,"[11359, 10806, 11639, 10776, 11353, 11899, 10276, 11371, 10141, 10407, 9890, 2196]",12
66,52fe470d9251416c7508c48b,2,19304,John Schlesinger,/vFCJ4RxvHysxeiwcFsiSGg7Tgre.jpg,"[17182, 32513, 32076, 3116, 26578, 2990, 1831, 118098, 10518, 26535, 47871, 24134, 91390, 45938, 5122, 21666, 3469, 33765, 139244, 120729]",20
67,52fe4330c3a36847f804111d,2,18356,Stephen Herek,/wFMntUA59jIeLITlk5pYp2boZzB.jpg,"[2054, 10057, 11674, 10414, 9713, 15413, 3980, 1648, 12508, 16643, 13498, 14849, 16931, 54557, 15671, 40080, 331588, 426670]",18
68,52fe43929251416c750159f9,2,45649,Paris Barclay,/ut83u6IJvZTE16QB2K7XJwUpvi7.jpg,[10607],1
69,52fe47ef9251416c750aa5b1,2,49361,Bill Bennett,,"[19760, 37517, 6382, 71204, 45017]",5
70,52fe4506c3a36847f80b7d17,2,57870,Jason Bloom,/fvQhQqGnf4cBq60FiLjeKWvvAqD.jpg,"[9536, 25723]",2
71,52fe44529251416c750309d3,2,69721,Farhad Mann,,"[11525, 37434, 445126, 401687]",4
72,52fe459ac3a36847f80d0769,2,15890,James Foley,/ujAhQvNNnBqa6ZP2C46DMdAp09w.jpg,"[40628, 10543, 6346, 9504, 9455, 26827, 13715, 25501, 10743, 7183, 38702, 341174]",12
73,52fe43c5c3a36847f806e5af,1,35137,Josiane Balasko,/ijdGcyrROO1bddXh6nNx4WcZcWb.jpg,"[4482, 15460, 237799]",3
74,52fe43999251416c75016ad5,2,37932,F. Gary Gray,/hjMfkAyz5ECn0svAzrkG3YsEaEW.jpg,"[10634, 9400, 9631, 8409, 9654, 4551, 22803, 277216, 337339]",9
75,52fe44949251416c75039d5f,2,70850,Andrew Sipes,,[11859],1
76,52fe4592c3a368484e062d3f,2,5656,Noah Baumbach,/6PuCDnBLURBnLCuat7BfouH9Gus.jpg,"[28387, 53765, 10707, 44389, 13998, 27583, 121986, 309245, 252512, 355254, 396398]",11
